Brand,Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs
AMD,Playstation 5 GPU,Unknown,2020,IGP,"16 GB, GDDR6, 256 bit",1750 MHz,1750 MHz,2304 / 144 / 64
AMD,Radeon Graphics,Renoir,2020,IGP,System Shared,400 MHz,System Shared,448 / 28 / 8
AMD,Radeon Graphics,Renoir,2020,IGP,System Shared,400 MHz,System Shared,512 / 32 / 8
AMD,Radeon Instinct MI100,MI100,Unknown,PCIe 4.0 x16,"32 GB, HBM2, 4096 bit",1000 MHz,1000 MHz,8192 / 512 / 64
AMD,Radeon Pro W5500,Navi 14,"Feb 10th, 2020",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1187 MHz,1750 MHz,1408 / 88 / 32
AMD,Radeon Pro W5500M,Navi 14,"Feb 10th, 2020",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1408 / 88 / 32
AMD,Radeon RX 5600 OEM,Navi 10,"Jan 21st, 2020",PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",1130 MHz,1500 MHz,2048 / 128 / 64
AMD,Radeon RX 5600 XT,Navi 10,"Jan 21st, 2020",PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",1130 MHz,1500 MHz,2304 / 144 / 64
AMD,Radeon RX 5600M,Navi 10,2020,PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",1000 MHz,1500 MHz,2304 / 144 / 64
AMD,Radeon RX 5700M,Navi 10,2020,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1465 MHz,1500 MHz,2304 / 144 / 64
AMD,Radeon RX 5800 XT,Navi 23,2020,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1600 MHz,1750 MHz,3328 / 208 / 64
AMD,Radeon RX 590 GME,Polaris 20,"Mar 9th, 2020",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX 5900,Navi 21,2020,PCIe 4.0 x16,"12 GB, GDDR6, 384 bit",1400 MHz,1750 MHz,4096 / 256 / 96
AMD,Radeon RX 5900 XT,Navi 21,2020,PCIe 4.0 x16,"12 GB, GDDR6, 384 bit",1500 MHz,1750 MHz,4352 / 272 / 96
AMD,Xbox Series X GPU,Scarlett,2020,IGP,"10 GB, GDDR6, 320 bit",1825 MHz,1750 MHz,3328 / 208 / 80
AMD,Radeon 540,Lexa,"Mar 26th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1100 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon 540X,Lexa,"Feb 11th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",980 MHz,1750 MHz,512 / 32 / 16
